"product_name","unit_price"
Chef Anton's Cajun Seasoning,22.0
Grandma's Boysenberry Spread,25.0
Uncle Bob's Organic Dried Pears,30.0
Northwoods Cranberry Sauce,40.0
Ikura,31.0
Queso Cabrales,21.0
Queso Manchego La Pastora,38.0
Tofu,23.25
Gustaf's Knäckebröd,21.0
Gumbär Gummibärchen,31.23
Schoggi Schokolade,43.9
Nord-Ost Matjeshering,25.89
Mascarpone Fabioli,32.0
Gravad lax,26.0
Ipoh Coffee,46.0
Maxilaku,20.0
Pâté chinois,24.0
Gnocchi di nonna Alice,38.0
Camembert Pierrot,34.0
Sirop d'érable,28.5
Tarte au sucre,49.3
Vegie-spread,43.9
Wimmers gute Semmelknödel,33.25
Louisiana Fiery Hot Pepper Sauce,21.05
Gudbrandsdalsost,36.0
Flotemysost,21.5
Mozzarella di Giovanni,34.8
